                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.84415,                0.45862,                0.81475,                0.91076,                0.86973,                0.92947,                0.68611,                0.72692,                0.38115,                0.80031,                0.00439,                0.00439,                0.00439
                     88,                0.83332,                0.45136,                0.81452,                0.91243,                0.86935,                0.92998,                0.68695,                0.72647,                0.38051,                0.80014,               0.004324,               0.004324,               0.004324
                     89,                 0.8403,                0.45803,                0.81245,                0.91264,                0.86899,                0.93023,                0.68667,                 0.7258,                0.38032,                0.80003,               0.004258,               0.004258,               0.004258
                     90,                0.83006,                0.44886,                0.81122,                0.91424,                0.86803,                0.93043,                0.68731,                0.72499,                0.37888,                0.79989,               0.004192,               0.004192,               0.004192
                     91,                0.84211,                0.45203,                0.81551,                0.91604,                0.86722,                0.93041,                0.68782,                 0.7242,                0.37889,                0.79976,               0.004126,               0.004126,               0.004126
                     92,                 0.8351,                0.45177,                0.81108,                0.91684,                0.86741,                0.93124,                0.68883,                0.72387,                0.37859,                0.79967,                0.00406,                0.00406,                0.00406
                     93,                0.82734,                0.45011,                  0.813,                0.91486,                0.86794,                 0.9312,                0.68941,                0.72319,                0.37785,                0.79958,               0.003994,               0.003994,               0.003994
                     94,                0.83261,                0.45328,                0.81508,                0.91421,                0.86865,                0.93108,                0.68993,                0.72243,                0.37741,                 0.7995,               0.003928,               0.003928,               0.003928
                     95,                0.83147,                0.44677,                0.81241,                0.91068,                0.87306,                0.93095,                0.69024,                0.72186,                0.37687,                0.79937,               0.003862,               0.003862,               0.003862
                     96,                0.82727,                0.44637,                0.81012,                 0.9123,                0.87174,                0.93129,                0.69031,                0.72154,                0.37671,                0.79929,               0.003796,               0.003796,               0.003796
                     97,                0.83424,                0.44946,                0.81141,                0.91284,                0.87244,                0.93126,                0.69063,                0.72104,                0.37645,                0.79917,                0.00373,                0.00373,                0.00373
                     98,                0.82545,                0.44544,                0.81236,                0.91283,                0.87293,                 0.9319,                0.69091,                0.72033,                0.37624,                0.79914,               0.003664,               0.003664,               0.003664
                     99,                0.82033,                0.44416,                0.81309,                0.91324,                0.87284,                0.93214,                0.69172,                0.71957,                0.37609,                0.79909,               0.003598,               0.003598,               0.003598
                    100,                0.82298,                0.44288,                0.81124,                0.91119,                0.87482,                0.93192,                0.69195,                0.71886,                0.37574,                0.79895,               0.003532,               0.003532,               0.003532
                    101,                0.81766,                0.43691,                0.81221,                0.91152,                0.87544,                0.93272,                0.69266,                0.71845,                0.37504,                0.79891,               0.003466,               0.003466,               0.003466
                    102,                0.81835,                0.43866,                0.80916,                0.91154,                  0.875,                0.93281,                 0.6933,                0.71787,                0.37391,                0.79877,                 0.0034,                 0.0034,                 0.0034
                    103,                0.81891,                 0.4404,                 0.8123,                0.91107,                 0.8757,                0.93307,                0.69341,                0.71705,                0.37426,                0.79863,               0.003334,               0.003334,               0.003334
                    104,                0.81872,                0.43871,                0.81032,                0.91227,                0.87394,                0.93305,                0.69353,                0.71649,                0.37414,                0.79861,               0.003268,               0.003268,               0.003268
