                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.0221,                0.59284,                0.82986,                0.88986,                0.77657,                0.84975,                0.58389,                0.85362,                0.47427,                0.82048,               0.007327,               0.007327,               0.007327
                     57,                 1.0153,                0.58755,                0.83329,                0.88705,                0.78578,                0.85194,                 0.5864,                0.84827,                0.47071,                0.81986,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.0107,                0.58832,                0.83087,                0.88516,                0.78649,                0.85307,                0.58766,                0.84686,                0.46923,                0.81992,               0.007228,               0.007228,               0.007228
                     59,                 1.0138,                0.58264,                0.83148,                0.88251,                0.78589,                0.85233,                0.58814,                0.84589,                0.46939,                0.81979,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.0205,                0.58628,                0.83154,                0.88264,                0.79043,                  0.855,                0.59101,                 0.8447,                0.46737,                0.81931,               0.007129,               0.007129,               0.007129
                     61,                 1.0091,                0.58106,                0.82805,                0.88508,                 0.7876,                0.85364,                 0.5912,                0.84634,                0.46724,                0.81937,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.0124,                0.58227,                0.83093,                0.88777,                0.78531,                0.85466,                0.59152,                0.84453,                 0.4659,                0.81933,                0.00703,                0.00703,                0.00703
                     63,                0.99671,                0.56445,                0.82884,                0.88708,                0.78602,                0.85528,                0.59081,                0.84511,                 0.4655,                0.81924,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.0268,                0.58447,                0.83438,                0.88491,                 0.7872,                0.85596,                0.58915,                0.84562,                0.46415,                 0.8192,               0.006931,               0.006931,               0.006931
                     65,                  1.007,                 0.5795,                0.82928,                0.89436,                0.78271,                  0.856,                0.58953,                0.84556,                0.46211,                0.81886,              0.0068815,              0.0068815,              0.0068815
                     66,                   1.01,                0.57761,                 0.8311,                0.88407,                0.78791,                0.85527,                0.58918,                0.84447,                0.46314,                0.81877,               0.006832,               0.006832,               0.006832
                     67,                0.99716,                0.56431,                0.83328,                0.88937,                0.78814,                0.85478,                 0.5903,                0.84138,                 0.4617,                0.81837,              0.0067825,              0.0067825,              0.0067825
                     68,                 1.0085,                 0.5756,                0.83254,                 0.8908,                0.78802,                0.85696,                0.59292,                 0.8388,                0.46064,                0.81825,               0.006733,               0.006733,               0.006733
                     69,                0.99156,                0.56564,                0.83097,                0.89271,                0.78838,                  0.857,                0.59278,                 0.8389,                0.46098,                0.81845,              0.0066835,              0.0066835,              0.0066835
                     70,                0.99987,                0.56853,                0.83112,                0.88934,                0.79151,                0.85645,                0.59324,                0.83914,                0.46113,                0.81836,               0.006634,               0.006634,               0.006634
                     71,                 1.0006,                0.56464,                0.82939,                0.89452,                0.78696,                 0.8573,                0.59283,                 0.8397,                0.46148,                0.81838,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.0018,                0.56738,                0.83028,                0.89779,                0.78624,                0.85737,                0.59316,                0.84018,                 0.4616,                0.81835,               0.006535,               0.006535,               0.006535
                     73,                0.99373,                0.56505,                0.82747,                0.89814,                0.78723,                 0.8583,                0.59356,                0.83951,                 0.4602,                0.81827,              0.0064855,              0.0064855,              0.0064855
                     74,                0.99007,                0.56341,                0.83113,                0.89567,                0.78814,                0.85887,                0.59373,                0.83855,                0.45863,                0.81807,               0.006436,               0.006436,               0.006436
                     75,                0.97921,                0.55663,                0.83149,                 0.8971,                0.78654,                0.85926,                0.59458,                0.83844,                0.45825,                0.81802,              0.0063865,              0.0063865,              0.0063865
                     76,                0.98411,                0.55311,                0.82799,                0.89762,                0.78602,                 0.8576,                0.59551,                0.83789,                0.45818,                0.81789,               0.006337,               0.006337,               0.006337
                     77,                0.98511,                0.55998,                0.83123,                0.89675,                0.78565,                0.85886,                0.59618,                0.83786,                0.45732,                0.81787,              0.0062875,              0.0062875,              0.0062875
                     78,                 1.0005,                0.56781,                0.82785,                0.89368,                0.78932,                 0.8598,                0.59706,                0.83635,                0.45765,                0.81777,               0.006238,               0.006238,               0.006238
                     79,                0.98784,                0.56343,                0.82907,                0.89195,                0.79027,                0.86054,                0.59751,                0.83713,                0.45695,                 0.8178,              0.0061885,              0.0061885,              0.0061885
                     80,                0.98068,                0.54656,                 0.8307,                0.89225,                0.78814,                0.86107,                0.59712,                0.83656,                0.45741,                0.81767,               0.006139,               0.006139,               0.006139
                     81,                 0.9743,                0.54948,                0.82607,                0.89047,                0.79098,                0.86157,                0.59851,                0.83567,                0.45636,                0.81757,              0.0060895,              0.0060895,              0.0060895
                     82,                0.98211,                0.55038,                 0.8293,                0.89214,                 0.7898,                0.86179,                0.59912,                0.83521,                0.45511,                0.81744,                0.00604,                0.00604,                0.00604
                     83,                 0.9794,                 0.5528,                0.82947,                0.89753,                0.78767,                  0.862,                0.59944,                0.83438,                0.45495,                0.81728,              0.0059905,              0.0059905,              0.0059905
                     84,                0.98033,                0.55159,                  0.827,                0.89814,                 0.7872,                0.86175,                0.59929,                0.83376,                 0.4543,                0.81716,               0.005941,               0.005941,               0.005941
                     85,                0.96841,                0.54141,                0.82389,                0.90408,                0.78355,                0.86199,                0.59998,                0.83335,                0.45358,                0.81714,              0.0058915,              0.0058915,              0.0058915
                     86,                0.96544,                0.54212,                0.82677,                0.90377,                 0.7846,                0.86215,                0.60013,                 0.8327,                0.45303,                  0.817,               0.005842,               0.005842,               0.005842
                     87,                0.98272,                0.54806,                0.82757,                0.90194,                0.78641,                0.86213,                0.59998,                0.83151,                0.45277,                0.81698,              0.0057925,              0.0057925,              0.0057925
                     88,                0.97971,                0.55208,                0.82655,                 0.9011,                0.78649,                0.86246,                0.60022,                0.83128,                0.45237,                0.81691,               0.005743,               0.005743,               0.005743
                     89,                0.98912,                0.55283,                0.82955,                0.90078,                0.78625,                0.86223,                0.60048,                0.83053,                 0.4524,                0.81685,              0.0056935,              0.0056935,              0.0056935
                     90,                0.97004,                0.54344,                0.82699,                0.89047,                0.79334,                0.86234,                0.60094,                0.82983,                0.45242,                0.81676,               0.005644,               0.005644,               0.005644
                     91,                0.97326,                0.54808,                0.82611,                 0.8904,                0.79405,                0.86227,                0.60116,                0.82951,                0.45185,                0.81674,              0.0055945,              0.0055945,              0.0055945
                     92,                0.95803,                0.54344,                 0.8253,                0.89111,                0.79381,                 0.8618,                0.60175,                0.82963,                0.45193,                0.81666,               0.005545,               0.005545,               0.005545
                     93,                0.96599,                0.54362,                0.82645,                0.90109,                0.78673,                0.86184,                0.60159,                0.82929,                0.45224,                0.81665,              0.0054955,              0.0054955,              0.0054955
                     94,                0.97581,                0.54287,                0.82776,                0.90285,                0.78578,                0.86197,                  0.602,                0.82853,                 0.4517,                0.81651,               0.005446,               0.005446,               0.005446
                     95,                0.97763,                0.54642,                0.82311,                0.90373,                0.78578,                 0.8624,                0.60204,                0.82819,                0.45126,                0.81646,              0.0053965,              0.0053965,              0.0053965
                     96,                0.94836,                0.53503,                0.82719,                 0.9055,                 0.7846,                0.86266,                0.60223,                0.82783,                0.45132,                0.81628,               0.005347,               0.005347,               0.005347
                     97,                0.95089,                0.53245,                0.82203,                0.90613,                0.78426,                0.86286,                0.60316,                 0.8276,                0.45057,                0.81632,              0.0052975,              0.0052975,              0.0052975
                     98,                0.94622,                0.53102,                0.82703,                0.90572,                0.78508,                0.86345,                 0.6037,                0.82693,                0.44982,                0.81627,               0.005248,               0.005248,               0.005248
                     99,                0.95589,                0.53023,                0.82314,                0.90505,                0.78484,                0.86331,                0.60391,                0.82705,                0.45011,                0.81622,              0.0051985,              0.0051985,              0.0051985
                    100,                0.95878,                0.53418,                0.82743,                0.90499,                0.78531,                0.86424,                 0.6042,                0.82649,                0.45005,                0.81613,               0.005149,               0.005149,               0.005149
                    101,                0.96036,                0.53334,                0.82539,                0.90408,                0.78586,                0.86453,                0.60398,                0.82651,                0.44959,                0.81617,              0.0050995,              0.0050995,              0.0050995
                    102,                0.94615,                0.52795,                0.82448,                0.90379,                 0.7854,                0.86485,                0.60455,                 0.8255,                0.44907,                0.81603,                0.00505,                0.00505,                0.00505
                    103,                0.94694,                0.52832,                0.82412,                  0.903,                0.78578,                0.86491,                0.60475,                0.82549,                0.44884,                0.81601,              0.0050005,              0.0050005,              0.0050005
                    104,                0.95058,                0.53213,                0.82533,                0.90354,                 0.7854,                0.86529,                0.60455,                0.82531,                0.44886,                  0.816,               0.004951,               0.004951,               0.004951
                    105,                 0.9472,                0.52376,                0.82715,                0.90396,                0.78555,                0.86565,                0.60536,                0.82529,                0.44858,                0.81597,              0.0049015,              0.0049015,              0.0049015
                    106,                0.95272,                0.53057,                0.82592,                0.90453,                0.78545,                0.86581,                0.60603,                0.82473,                0.44866,                0.81594,               0.004852,               0.004852,               0.004852
