                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.96808,                0.57656,                0.82914,                  1.317,                0.68719,                 0.8251,                0.87715,                0.79997,                0.86434,                0.61461,                0.82166,                0.46113,                0.81694,                 1.1089,                0.55581,                0.81195,               0.008218,               0.008218,               0.008218
                     39,                 0.9725,                0.56684,                 0.8308,                 1.3247,                0.68676,                0.82608,                0.87393,                0.80704,                0.86553,                0.61388,                0.82352,                0.46008,                0.81752,                 1.1098,                0.55738,                0.81183,              0.0081685,              0.0081685,              0.0081685
                     40,                0.96139,                0.55966,                 0.8321,                 1.3125,                0.68254,                0.82711,                0.89041,                0.79459,                0.86544,                0.61494,                0.82617,                0.45738,                0.81643,                 1.1152,                0.54791,                0.81143,               0.008119,               0.008119,               0.008119
                     41,                0.95729,                0.56221,                0.83338,                  1.304,                0.67409,                0.82783,                0.87273,                 0.8106,                0.86733,                0.61967,                0.81693,                0.45396,                0.81715,                 1.0961,                0.54032,                0.81037,              0.0080695,              0.0080695,              0.0080695
                     42,                 0.9687,                0.56657,                0.82869,                  1.317,                0.68189,                0.82439,                0.88294,                0.80366,                0.86917,                0.61893,                 0.8134,                0.45148,                0.81533,                 1.1006,                0.54277,                0.80948,                0.00802,                0.00802,                0.00802
                     43,                0.96463,                0.56723,                 0.8283,                 1.3034,                0.67544,                0.82488,                0.89324,                0.80199,                 0.8692,                0.62087,                 0.8168,                0.45021,                0.81581,                 1.1009,                0.53713,                0.81012,              0.0079705,              0.0079705,              0.0079705
                     44,                  0.957,                 0.5658,                0.83031,                 1.3056,                 0.6795,                 0.8262,                0.88642,                0.79943,                0.86822,                0.62242,                0.80676,                0.44997,                0.81552,                 1.0922,                0.53942,                0.80983,               0.007921,               0.007921,               0.007921
                     45,                0.95938,                0.55853,                0.82899,                 1.3068,                0.67691,                0.82399,                0.87982,                 0.8026,                0.86878,                0.62461,                0.80408,                0.45295,                0.81501,                 1.0842,                0.54438,                0.80935,              0.0078715,              0.0078715,              0.0078715
                     46,                0.95741,                0.55312,                0.83267,                 1.3106,                 0.6719,                0.82613,                0.87647,                0.80775,                0.87279,                0.62543,                0.80779,                0.44695,                0.81528,                 1.0873,                0.52982,                0.80953,               0.007822,               0.007822,               0.007822
                     47,                0.96033,                0.56328,                0.82849,                 1.3117,                0.68066,                 0.8248,                0.88862,                0.80509,                0.87393,                 0.6274,                0.80443,                0.44297,                0.81491,                 1.0839,                 0.5271,                0.80913,              0.0077725,              0.0077725,              0.0077725
                     48,                0.95203,                0.55012,                0.82846,                  1.292,                0.66124,                0.82276,                0.88813,                0.80437,                0.87227,                0.62668,                0.80854,                 0.4438,                0.81523,                 1.0849,                0.52624,                0.80937,               0.007723,               0.007723,               0.007723
                     49,                0.95626,                0.55389,                0.82942,                 1.3013,                0.65987,                0.82523,                0.88054,                0.81291,                0.87256,                0.62853,                0.80398,                0.43927,                0.81436,                 1.0766,                0.52448,                0.80833,              0.0076735,              0.0076735,              0.0076735
                     50,                0.94981,                0.54887,                0.82832,                 1.2916,                0.66251,                0.82356,                0.88414,                0.80475,                0.87443,                0.62853,                0.80444,                0.43997,                 0.8141,                 1.0765,                0.52692,                0.80851,               0.007624,               0.007624,               0.007624
                     51,                0.95963,                0.55535,                0.82884,                 1.2995,                 0.6695,                0.82561,                 0.8789,                0.81487,                0.87513,                0.62858,                0.80568,                0.43919,                0.81455,                 1.0794,                0.52518,                0.80857,              0.0075745,              0.0075745,              0.0075745
                     52,                0.94577,                0.55135,                0.82664,                   1.29,                 0.6663,                 0.8216,                0.88163,                0.81256,                0.87451,                0.63084,                 0.8012,                0.43673,                0.81399,                 1.0752,                0.52203,                0.80754,               0.007525,               0.007525,               0.007525
                     53,                 0.9322,                0.54134,                0.82966,                 1.2779,                0.65646,                0.82519,                 0.8916,                0.80597,                 0.8751,                0.63185,                0.79733,                0.43501,                0.81343,                 1.0687,                0.51815,                0.80771,              0.0074755,              0.0074755,              0.0074755
                     54,                0.94368,                0.54478,                0.82917,                 1.2865,                0.65491,                0.82559,                0.89361,                 0.8106,                0.87669,                0.63333,                0.79546,                 0.4336,                0.81287,                 1.0667,                0.51315,                0.80746,               0.007426,               0.007426,               0.007426
                     55,                0.93323,                0.53231,                0.82617,                 1.2821,                0.65819,                 0.8216,                 0.8868,                0.80793,                0.87463,                0.63162,                0.79551,                0.43017,                0.81311,                 1.0653,                0.51749,                0.80714,              0.0073765,              0.0073765,              0.0073765
